metric,week_id,year,count,week,class
North America,Week 25,2020,220,25,train
Chat,Week 26,2020,111,26,train
Demo,Week 26,2020,111,26,train
Signup,Week 26,2020,211,26,train
Overall,Week 26,2020,434,26,train
Direct,Week 26,2020,86,26,train
Organic,Week 26,2020,153,26,train
Paid,Week 26,2020,148,26,train
APAC,Week 26,2020,80,26,train
European Union,Week 26,2020,125,26,train
North America,Week 26,2020,159,26,train
Demo,Week 27,2020,82,27,train
Chat,Week 27,2020,154,27,train
Signup,Week 27,2020,226,27,train
Overall,Week 27,2020,462,27,train
Direct,Week 27,2020,90,27,train
Organic,Week 27,2020,150,27,train
Paid,Week 27,2020,164,27,train
APAC,Week 27,2020,89,27,train
European Union,Week 27,2020,135,27,train
North America,Week 27,2020,180,27,train
Demo,Week 28,2020,103,28,train
Chat,Week 28,2020,139,28,train
Signup,Week 28,2020,230,28,train
Overall,Week 28,2020,475,28,train
Direct,Week 28,2020,98,28,train
Organic,Week 28,2020,163,28,train
Paid,Week 28,2020,166,28,train
APAC,Week 28,2020,94,28,train
European Union,Week 28,2020,138,28,train
North America,Week 28,2020,188,28,train
Demo,Week 29,2020,93,29,train
Chat,Week 29,2020,142,29,train
Signup,Week 29,2020,241,29,train
Overall,Week 29,2020,477,29,train
Direct,Week 29,2020,89,29,train
Organic,Week 29,2020,173,29,train
Paid,Week 29,2020,164,29,train
APAC,Week 29,2020,117,29,train
European Union,Week 29,2020,120,29,train
North America,Week 29,2020,188,29,train
Demo,Week 30,2020,87,30,train
Chat,Week 30,2020,138,30,train
Signup,Week 30,2020,233,30,train
Overall,Week 30,2020,458,30,train
Direct,Week 30,2020,108,30,train
Organic,Week 30,2020,146,30,train
Paid,Week 30,2020,157,30,train
APAC,Week 30,2020,94,30,train
European Union,Week 30,2020,120,30,train
North America,Week 30,2020,190,30,train
Demo,Week 31,2020,117,31,train
Chat,Week 31,2020,123,31,train
Signup,Week 31,2020,210,31,train
Overall,Week 31,2020,451,31,train
Direct,Week 31,2020,82,31,train
Organic,Week 31,2020,129,31,train
Paid,Week 31,2020,173,31,train
APAC,Week 31,2020,93,31,train
European Union,Week 31,2020,106,31,train
North America,Week 31,2020,190,31,train
Demo,Week 32,2020,99,32,train
Chat,Week 32,2020,120,32,train
Signup,Week 32,2020,226,32,train
Overall,Week 32,2020,446,32,train
Direct,Week 32,2020,88,32,train
Organic,Week 32,2020,151,32,train
Paid,Week 32,2020,157,32,train
European Union,Week 32,2020,108,32,train
APAC,Week 32,2020,110,32,train
North America,Week 32,2020,180,32,train
Demo,Week 33,2020,105,33,train
Chat,Week 33,2020,116,33,train
Signup,Week 33,2020,208,33,train
Overall,Week 33,2020,430,33,train
Direct,Week 33,2020,89,33,train
Organic,Week 33,2020,118,33,train
Paid,Week 33,2020,163,33,train
APAC,Week 33,2020,86,33,train
European Union,Week 33,2020,117,33,train
North America,Week 33,2020,166,33,train
Demo,Week 34,2020,103,34,train
Chat,Week 34,2020,107,34,train
Signup,Week 34,2020,220,34,train
Overall,Week 34,2020,430,34,train
Direct,Week 34,2020,80,34,train
Organic,Week 34,2020,138,34,train
Paid,Week 34,2020,165,34,train
APAC,Week 34,2020,89,34,train
European Union,Week 34,2020,112,34,train
North America,Week 34,2020,183,34,train
Chat,Week 35,2020,109,35,train
Demo,Week 35,2020,114,35,train
Signup,Week 35,2020,221,35,train
Overall,Week 35,2020,445,35,train
Direct,Week 35,2020,104,35,train
Organic,Week 35,2020,138,35,train
Paid,Week 35,2020,148,35,train
APAC,Week 35,2020,92,35,train
European Union,Week 35,2020,100,35,train
North America,Week 35,2020,203,35,train
Demo,Week 36,2020,104,36,train
